         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.029    0.002 _compat.py:110(__post_init__)
        1    0.000    0.000    0.028    0.028 _pq_ctypes.py:1(<module>)
      170    0.004    0.000    0.028    0.000 schema.py:1507(__init__)
       20    0.009    0.000    0.028    0.001 enum.py:1749(convert_class)
        1    0.000    0.000    0.028    0.028 query.py:1(<module>)
        2    0.000    0.000    0.028    0.014 networks.py:959(__get_pydantic_core_schema__)
        2    0.000    0.000    0.028    0.014 networks.py:922(import_email_validator)
    40/38    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
       16    0.000    0.000    0.028    0.002 type_adapter.py:196(__init__)
       38    0.002    0.000    0.028    0.001 typing.py:2998(__new__)
     1361    0.007    0.000    0.028    0.000 <frozen importlib._bootstrap>:162(__enter__)
       63    0.027    0.000    0.028    0.000 {built-in method pydantic_core._pydantic_core.validate_core_schema}
       32    0.003    0.000    0.028    0.001 typing_extensions.py:916(__new__)
        2    0.000    0.000    0.028    0.014 sessions.py:1(<module>)
      184    0.001    0.000    0.028    0.000 schema.py:222(_init_items)
    40/38    0.024    0.001    0.027    0.001 {built-in method _imp.create_dynamic}
      109    0.001    0.000    0.027    0.000 typing.py:1748(__getitem__)
        1    0.000    0.000    0.027    0.027 oauth2.py:1(<module>)
      370    0.001    0.000    0.027    0.000 _typing_extra.py:593(eval_type_backport)
    18851    0.027    0.000    0.027    0.000 {method 'endswith' of 'str' objects}
     1361    0.016    0.000    0.027    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.027    0.027 socket.py:1(<module>)
        1    0.000    0.000    0.027    0.027 postgres.py:20(register_default_types)
    18405    0.027    0.000    0.027    0.000 _parser.py:239(__next)
       40    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1326(exec_module)
      582    0.014    0.000    0.026    0.000 functools.py:36(update_wrapper)
      370    0.001    0.000    0.026    0.000 _typing_extra.py:626(_eval_type_backport)
        3    0.000    0.000    0.026    0.009 __init__.py:31(message_from_string)
     1196    0.008    0.000    0.026    0.000 typing.py:1023(__init__)
       16    0.000    0.000    0.026    0.002 type_adapter.py:247(_init_core_attrs)
        1    0.000    0.000    0.026    0.026 query.py:155(Query)
       39    0.001    0.000    0.026    0.001 typing.py:2979(_make_nmtuple)
       98    0.000    0.000    0.025    0.000 inspect.py:3342(signature)
        1    0.000    0.000    0.025    0.025 ssl.py:1(<module>)
      370    0.001    0.000    0.025    0.000 _typing_extra.py:656(_eval_type)
     5011    0.018    0.000    0.025    0.000 contextlib.py:108(__init__)
       50    0.002    0.000    0.025    0.001 _typing_extra.py:472(get_model_type_hints)
        2    0.000    0.000    0.025    0.013 sources.py:742(__init__)
       98    0.000    0.000    0.025    0.000 inspect.py:3066(from_callable)
     4924    0.017    0.000    0.025    0.000 core_schema.py:4108(_dict_not_none)
   140/98    0.006    0.000    0.025    0.000 inspect.py:2477(_signature_from_callable)
8703/6321    0.016    0.000    0.024    0.000 {built-in method builtins.hash}
2364/2156    0.011    0.000    0.024    0.000 typing.py:1773(__hash__)
        1    0.000    0.000    0.024    0.024 dbapi20.py:1(<module>)
        1    0.000    0.000    0.024    0.024 applications.py:1255(include_router)
        1    0.000    0.000    0.024    0.024 collections.py:1(<module>)
  1060/63    0.004    0.000    0.024    0.000 _core_utils.py:528(inline_refs)
 1240/374    0.009    0.000    0.024    0.000 typing.py:463(_eval_type)
        1    0.000    0.000    0.024    0.024 _base.py:1(<module>)
        1    0.000    0.000    0.023    0.023 fractions.py:1(<module>)
